CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.216  |  0.900  |  0.223  |  0.208  
  0.216  |  0.902  |  0.216  |  0.216  
  0.216  |  0.904  |  0.216  |  0.216  
  0.216  |  0.906  |  0.216  |  0.216  
  0.200  |  0.908  |  0.192  |  0.208  
  0.216  |  0.910  |  0.216  |  0.216  
  0.216  |  0.912  |  0.216  |  0.216  
  0.200  |  0.914  |  0.208  |  0.192  
  0.216  |  0.916  |  0.216  |  0.216  
  0.216  |  0.919  |  0.216  |  0.216  
  0.216  |  0.921  |  0.223  |  0.208  
  0.216  |  0.923  |  0.216  |  0.216  
  0.216  |  0.925  |  0.223  |  0.208  
  0.200  |  0.927  |  0.200  |  0.200  
  0.216  |  0.929  |  0.223  |  0.208  
  0.200  |  0.931  |  0.200  |  0.200  
  0.216  |  0.933  |  0.223  |  0.208  
  0.231  |  0.936  |  0.231  |  0.231  
  0.231  |  0.938  |  0.231  |  0.231  
  0.200  |  0.940  |  0.200  |  0.200  
  0.200  |  0.944  |  0.200  |  0.200  
  0.231  |  0.946  |  0.231  |  0.231  
  0.216  |  0.948  |  0.223  |  0.208  
  0.216  |  0.951  |  0.216  |  0.216  
  0.216  |  0.953  |  0.223  |  0.208  
  0.185  |  0.955  |  0.185  |  0.185  
  0.216  |  0.957  |  0.208  |  0.223  
  0.216  |  0.959  |  0.223  |  0.208  
  0.216  |  0.961  |  0.223  |  0.208  
  0.216  |  0.963  |  0.216  |  0.216  
  0.216  |  0.965  |  0.216  |  0.216  
  0.216  |  0.967  |  0.216  |  0.216  
  0.216  |  0.970  |  0.216  |  0.216  
  0.216  |  0.972  |  0.216  |  0.216  
  0.216  |  0.974  |  0.216  |  0.216  
  0.216  |  0.976  |  0.223  |  0.208  
  0.216  |  0.978  |  0.216  |  0.216  
  0.200  |  0.980  |  0.200  |  0.200  
  0.231  |  0.982  |  0.239  |  0.223  
  0.200  |  0.984  |  0.200  |  0.200  
  0.216  |  0.987  |  0.223  |  0.208  
  0.216  |  0.989  |  0.216  |  0.216  
  0.231  |  0.991  |  0.231  |  0.231  
  0.200  |  0.993  |  0.200  |  0.200  
  0.216  |  0.995  |  0.208  |  0.223  
  0.200  |  0.997  |  0.208  |  0.192  
  0.216  |  0.999  |  0.223  |  0.208  
  0.216  |  1.001  |  0.216  |  0.216  
  0.216  |  1.004  |  0.223  |  0.208  
  0.200  |  1.006  |  0.208  |  0.192  
  0.216  |  1.008  |  0.216  |  0.216  
  0.216  |  1.010  |  0.216  |  0.216  
  0.216  |  1.012  |  0.216  |  0.216  
  0.216  |  1.014  |  0.216  |  0.216  
  0.216  |  1.016  |  0.216  |  0.216  
  0.200  |  1.018  |  0.208  |  0.192  
  0.216  |  1.020  |  0.216  |  0.216  
  0.231  |  1.023  |  0.231  |  0.231  
  0.216  |  1.025  |  0.216  |  0.216  
  0.200  |  1.029  |  0.208  |  0.192  
  0.200  |  1.029  |  0.208  |  0.192  
  0.185  |  1.033  |  0.185  |  0.185  
  0.231  |  1.035  |  0.231  |  0.231  
  0.200  |  1.037  |  0.208  |  0.192  
  0.216  |  1.039  |  0.223  |  0.208  
  0.216  |  1.042  |  0.216  |  0.216  
