CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.477  |  1.083  |  0.477  |  0.477  
  0.493  |  1.087  |  0.493  |  0.493  
  0.508  |  1.093  |  0.508  |  0.508  
  0.585  |  1.098  |  0.585  |  0.585  
  0.477  |  1.103  |  0.477  |  0.477  
  0.523  |  1.108  |  0.523  |  0.524  
  0.493  |  1.113  |  0.492  |  0.493  
  0.554  |  1.119  |  0.554  |  0.554  
  0.570  |  1.125  |  0.569  |  0.570  
  0.462  |  1.129  |  0.462  |  0.462  
  0.508  |  1.134  |  0.508  |  0.508  
  0.570  |  1.140  |  0.570  |  0.570  
  0.539  |  1.145  |  0.539  |  0.539  
  0.523  |  1.151  |  0.523  |  0.523  
  0.493  |  1.161  |  0.493  |  0.493  
  0.554  |  1.166  |  0.554  |  0.555  
  0.570  |  1.172  |  0.570  |  0.570  
  0.539  |  1.177  |  0.539  |  0.539  
  0.493  |  1.182  |  0.493  |  0.493  
  0.539  |  1.188  |  0.539  |  0.539  
  0.600  |  1.194  |  0.600  |  0.600  
  0.523  |  1.199  |  0.523  |  0.523  
  0.493  |  1.204  |  0.493  |  0.492  
  0.570  |  1.210  |  0.569  |  0.570  
  0.570  |  1.215  |  0.570  |  0.569  
  0.539  |  1.221  |  0.539  |  0.539  
  0.523  |  1.226  |  0.524  |  0.523  
  0.539  |  1.231  |  0.538  |  0.539  
  0.585  |  1.237  |  0.585  |  0.585  
  0.554  |  1.243  |  0.554  |  0.554  
  0.570  |  1.248  |  0.570  |  0.570  
  0.523  |  1.254  |  0.523  |  0.524  
  0.570  |  1.259  |  0.569  |  0.570  
  0.523  |  1.264  |  0.523  |  0.524  
  0.616  |  1.271  |  0.616  |  0.616  
  0.539  |  1.276  |  0.539  |  0.539  
  0.585  |  1.282  |  0.585  |  0.585  
  0.523  |  1.287  |  0.523  |  0.524  
  0.600  |  1.293  |  0.600  |  0.600  
  0.539  |  1.298  |  0.539  |  0.539  
  0.600  |  1.304  |  0.600  |  0.600  
  0.539  |  1.310  |  0.539  |  0.538  
  0.585  |  1.316  |  0.585  |  0.585  
  0.554  |  1.321  |  0.554  |  0.554  
  0.585  |  1.327  |  0.585  |  0.585  
  0.554  |  1.333  |  0.554  |  0.554  
  0.616  |  1.339  |  0.616  |  0.616  
  0.523  |  1.344  |  0.524  |  0.523  
  0.554  |  1.350  |  0.554  |  0.554  
  0.616  |  1.356  |  0.616  |  0.616  
  0.600  |  1.362  |  0.601  |  0.600  
  0.523  |  1.367  |  0.523  |  0.524  
  0.585  |  1.379  |  0.585  |  0.585  
  0.585  |  1.385  |  0.585  |  0.585  
  0.570  |  1.390  |  0.570  |  0.569  
  0.585  |  1.396  |  0.585  |  0.585  
  0.585  |  1.402  |  0.585  |  0.585  
  0.585  |  1.408  |  0.585  |  0.585  
  0.570  |  1.413  |  0.570  |  0.569  
  0.616  |  1.420  |  0.616  |  0.616  
  0.554  |  1.425  |  0.554  |  0.554  
  0.616  |  1.431  |  0.616  |  0.616  
  0.585  |  1.437  |  0.585  |  0.585  
  0.585  |  1.443  |  0.585  |  0.585  
  0.570  |  1.449  |  0.569  |  0.570  
  0.585  |  1.455  |  0.585  |  0.585  
