CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.699  | 10.544  |  0.699  |  0.699  
  0.696  | 10.579  |  0.696  |  0.696  
  0.696  | 10.613  |  0.696  |  0.696  
  0.699  | 10.648  |  0.700  |  0.697  
  0.702  | 10.683  |  0.703  |  0.700  
  0.711  | 10.719  |  0.711  |  0.711  
  0.696  | 10.754  |  0.694  |  0.697  
  0.702  | 10.789  |  0.700  |  0.703  
  0.696  | 10.824  |  0.694  |  0.697  
  0.699  | 10.859  |  0.699  |  0.699  
  0.699  | 10.894  |  0.699  |  0.699  
  0.696  | 10.928  |  0.697  |  0.694  
  0.708  | 10.964  |  0.708  |  0.708  
  0.705  | 10.999  |  0.707  |  0.703  
  0.699  | 11.034  |  0.699  |  0.699  
  0.699  | 11.069  |  0.699  |  0.699  
  0.696  | 11.104  |  0.694  |  0.697  
  0.696  | 11.138  |  0.694  |  0.697  
  0.702  | 11.174  |  0.702  |  0.702  
  0.702  | 11.209  |  0.703  |  0.700  
  0.702  | 11.244  |  0.703  |  0.700  
  0.702  | 11.279  |  0.703  |  0.700  
  0.702  | 11.314  |  0.702  |  0.702  
  0.699  | 11.349  |  0.697  |  0.700  
  0.696  | 11.384  |  0.696  |  0.696  
  0.705  | 11.419  |  0.703  |  0.707  
  0.693  | 11.454  |  0.693  |  0.693  
  0.699  | 11.489  |  0.699  |  0.699  
  0.702  | 11.524  |  0.702  |  0.702  
  0.702  | 11.559  |  0.703  |  0.700  
  0.702  | 11.594  |  0.703  |  0.700  
  0.702  | 11.629  |  0.702  |  0.702  
  0.702  | 11.664  |  0.700  |  0.703  
  0.696  | 11.699  |  0.694  |  0.697  
  0.699  | 11.734  |  0.699  |  0.699  
  0.699  | 11.769  |  0.699  |  0.699  
  0.705  | 11.804  |  0.705  |  0.705  
  0.693  | 11.839  |  0.693  |  0.693  
  0.699  | 11.908  |  0.699  |  0.699  
  0.702  | 11.944  |  0.702  |  0.702  
  0.708  | 11.979  |  0.707  |  0.710  
  0.699  | 12.014  |  0.699  |  0.699  
  0.702  | 12.049  |  0.700  |  0.703  
  0.696  | 12.084  |  0.696  |  0.696  
  0.699  | 12.119  |  0.699  |  0.699  
  0.699  | 12.154  |  0.700  |  0.697  
  0.699  | 12.189  |  0.700  |  0.697  
  0.705  | 12.224  |  0.705  |  0.705  
  0.699  | 12.259  |  0.700  |  0.697  
  0.699  | 12.294  |  0.700  |  0.697  
  0.699  | 12.329  |  0.699  |  0.699  
  0.702  | 12.364  |  0.702  |  0.702  
  0.705  | 12.399  |  0.705  |  0.705  
  0.699  | 12.434  |  0.699  |  0.699  
  0.699  | 12.469  |  0.699  |  0.699  
  0.699  | 12.504  |  0.699  |  0.699  
  0.699  | 12.539  |  0.699  |  0.699  
  0.699  | 12.574  |  0.699  |  0.699  
  0.696  | 12.609  |  0.696  |  0.696  
  0.702  | 12.644  |  0.702  |  0.702  
  0.696  | 12.678  |  0.696  |  0.696  
  0.699  | 12.713  |  0.699  |  0.699  
  0.711  | 12.749  |  0.711  |  0.711  
  0.699  | 12.784  |  0.699  |  0.699  
  0.705  | 12.819  |  0.705  |  0.705  
  0.690  | 12.854  |  0.690  |  0.690  
  0.702  | 12.889  |  0.702  |  0.702  

received SIGINT Ctrl-C
